artist,album,catalogueNo,played,location,needNewCase,sleeveRating,sleeveNotes,mediaRating,mediaNotes,purchasedByMe,purchaseDate
"BEATLES, THE",VI,T 2358,,shelf,FALSE,VG,"bottom splitting, side cracking",,,,
"BEATLES, THE",RUBBER SOUL,T 2442,TRUE,shelf,FALSE,VG+,minor splitting on all sides,,,,
"BEATLES, THE",YESTERDAY...AND TODAY,T-2553,TRUE,shelf,TRUE,N/A,,,,,
"BEATLES, THE",REVOLVER,T-2576,,shelf,TRUE,GENERIC,replaced sleeve and jacket,,,,
"BEATLES, THE",A HARD DAY'S NIGHT,UAS 6366,,shelf,FALSE,VG+,"small splitting on top left side, worn on edges",,,,
BEE GEES,GREATEST,RS-2-4200,,shelf,,,,,,,
"BELLAMY BROTHERS, THE",GREATEST HITS,23697-1,,shelf,,,,,,,
BENNY GOODMAN,THE GREAT BENNY GOODMAN,,,TUB,,,,,,,
BIG BROTHER & THE HOLDING COMPANY,CHEAP THRILLS,KCS 9700,TRUE,shelf,,,,,,,
BILL COSBY,FOR ADULTS ONLY,73112,,,,,,,,,
BILL COSBY,WHY IS THERE AIR,W 1606,,,,,,,,,
BILL COSBY,REVENGE,W 1691,,,,,,,,,
"BILL GAITHER TRIO, THE",WE ARE PERSUADED,WSB-8829,,,,VG+,,,,,
BILLY CRASH CRADDOCK,GREATEST HITS,,,TUB,,,,,,,
BILLY JOEL,STREETLIFE SERENADE,PC 33146,,,,,,,,,
BILLY SQUIER,DON'T SAY NO,ST 12146,,,,,,,,,
BILLY SWAN,I CAN HELP,KZ 33279,,,,,,,,,
BILLY SWAN,I'M INTO LOVING YOU,,,TUB,,,,,,,
BILLY WALKER,ALONE AGAIN,APL-1-1489,,,,,,,,,
BLACK OAK ARKANSAS,BLACK OAK ARKANSAS,SD 33-354,,,,,,,,,
BLACK SABBATH,BLACK SABBATH,WS 1871,,,,,,,,,
BLACK SABBATH,MASTER OF REALITY,,,TUB,,,,,,,
BLIND FAITH,BLIND FAITH,RS-1-3016,TRUE,,,VG+,excellent,VG+,some noise - crackling,,
BLIND FAITH,BLIND FAITH,SD 33-304,,,,VG,,,,,
BLODWYN PIG,GETTING TO THIS,ILPS 9122,,,,, ,,,,
BLONDIE,PARALLEL LINES,CHR 1192,TRUE,,,,,,,,
BLOOD SWEAT & TEARS,BLOOD SWEAT & TEARS,,,,,,,,,,
"BLOOD, SWEAT & TEARS","BLOOD, SWEAT & TEARS 3",KC 30090,,,,,,,,,
"BLOOD, SWEAT & TEARS",GREATEST HITS,PC 31170,,,,,,,,,
BLOODROCK,BLOODROCK 3,ST-765,,,,,,,,,
BLOODROCK,BLOODROCK LIVE!,SVBB-11038,,TUB,,,,,,,
BLUE CHEER,OUTSIDEINSIDE,PHS-600-278,,,,,,,,,
BLUE OYSTER CULT,SECRET TREATIES,KC 32858,TRUE,shelf,,VG+,"inner sleeve has been replaced, but is in good shape. jacket is firm and doesn't have a lot of wear, but has a discolored spot",,,,
BLUE OYSTER CULT,BLUE OYSTER CULT,PC 31063,,,,,,,,,
BLUES MAGOOS,PSYCHEDELIC LOLLIPOP,SR 61096,,,,,,,,TRUE,4/23
"BLUES PROJECT, THE",LIVE AT TOWN HALL,,,,,,,,,,
BOB DYLAN,NASHVILLE SKYLINE,KCS 9825,,,,,,,,,
BOB SEGER & THE SILVER BULLET BAND,NIGHT MOVES,ST-11557,TRUE,,,VG+,"very worn spine, minor splitting on spine, has inner sleeve. inner sleeve is splitting badly",,,,
BOB SEGER & THE SILVER BULLET BAND,LIVE BULLET,STBK-511523,,,,,,,,,
BOB WELCH,FRENCH KISS,,,,,,,,,,
BOBBY GOLDSBORO,GREATEST HITS,UAS-5502,,,,,,,,,
BOBBY GOLDSBORO,HONEY,,,,,,,,,,
BOBBY VINTON,ENCORE,UAS 6642,,TUB,,,,,,,
BOBBY VOLARE,BIG ORANGE,,,,,,,,,,
BOBBY VOLARE,IN HOT WATER,,,,,,,,,,
BOBBY VOLARE,OUT TO LUNCH,,,,,,,,,,
BON JOVI,SLIPPERY WHEN WET,830-264-1 M-1,,,,,,,,,
BOSTON,BOSTON,JE 34188,,,,,,,,,
BOZ SCAGGS,MOMENTS,C 30454,,,,,,,,,
BOZ SCAGGS,MOMENTS,PC 30454,,,,,,,,,
BOZ SCAGGS,MY TIME,PC 31384,,,,,,,,,
"BRANSONS, THE",LIVING FOR JESUS,,,,,,,,,,
BREAD,BEST OF BREAD,6E-108,,,,,,,,,
BREAD,BABY I'M-A WANT YOU,EKS-75015,,,,,,,,,
BRUCE SPRINGSTEEN,BRILLIANT DISGUISE,CAS 2806,,,,,,,,,
BUDDY MILES,MORE MILES PER GALLON,NBLP 7019,,,,,,,,,
BUDDY MILES,THEM CHANGES,SR-61280,,,,G,,,,,
"BUDDY MILES BAND, THE",CHAPTER VII,KC 32048,,,,,,,,,
BURTON CUMMINGS,MY OWN WAY TO ROCK,PR 34698,,,,,,,,,
